jpyj	戒严
jylq	敬业乐群
kbvy	恐怖主义
ykmu	荧幕
gyyr	工业园
gyqu	工业区
hccj	黄灿灿
yyyr	营业员
mgmg	蒙蒙
yytk	营业厅
mgyc	蒙药
ykho	荧惑
yklw	营垒
myuq	蒙冤受屈
mgnj	蒙难
mglm	蒙脸
rsru	荣辱
lcjn	劳教
rsig	荣成
mgmw	蒙昧
rsig	蓉城
mgyj	蒙眼
lcjx	劳驾
ykyr	营员
mgui	蒙事
mgtm	蒙田
lcbu	劳步
mgen	蒙恩
mgvc	蒙罩
rsgv	荣归
lcui	劳师
hyyz	荤油
ykkz	营口
ykbj	营办
ykvh	营帐
ykuz	营收
kzdj	蔻丹
ykho	营火
lcjy	劳军
mgbj	蒙板
lcyi	劳逸
yksi	营私
ykpj	营盘
rsge	荣格
ykbd	莹白
ykug	营生
lcji	劳技
lcla	劳拉
hhlz	黄鹤楼
ihse	茶褐色
gnbk	工农兵
lcjb	劳金
lcfa	劳乏
ykli	营利
ykxi	萦系
mgte	蒙特
lcyi	劳役
hzxi	黄宗羲
lcji	劳绩
ykjm	营建
rshx	荣华
mgvu	蒙住
ykbu	营部
mgrf	蒙人
vilj	芝兰
lczi	劳资
rsdg	荣登
oahv	欧安会
ykuh	营商
sbnu	斯宾诺莎
lccv	劳瘁
jkjp	警戒
mgyu	蒙语
lcfh	劳方
xdee	薛定谔
xmtd	藓苔
jkfw	警匪
cshl	葱黄
quma	区码
mrru	茫然若失
jkpb	敬聘
gebf	戈尔巴乔夫
ouru	殴辱
jibq	荆钗布裙
jkui	警世
hvdl	黄钟大吕
bclw	苞蕾
csyu	葱郁
pima	匹马
oulu	欧陆
jkfg	敬奉
qkqi	擎起
jkxm	敬献
quxm	区县
jkfu	警服
jkui	警士
pifu	匹夫
qukk	区块
hozv	获罪
gzho	苟活
aizi	艾滋
hovi	获致
jkuu	警署
hniy	花鸟虫鱼
jkhe	敬贺
qktm	擎天
jkuh	敬上
jkli	警力
gzts	苟同
hjvz	黄金周
jkjp	警界
qunw	区内
geyx	莞尔一笑
jksi	警司
cscv	葱翠
jkfg	警风
qmff	芡粉
bcmi	苞米
quwd	区外
qmui	芡实
ouui	欧氏
jkyj	敬烟
ujsd	世锦赛
gzan	苟安
hnyi	花鸟鱼虫
jkju	警句
jkli	敬礼
jkbd	敬拜
csbd	葱白
jkxn	警校
jkxp	警械
jktj	警探
qsbj	七色板
jkql	警枪
jkgc	敬告
jkvs	警种
cstz	葱头
quww	区委
holi	获利
jkxm	警衔
gzyj	苟延
jkdi	警笛
houi	获释
jimf	蓟门
outi	欧体
hvhq	黄钟毁弃
oudz	殴斗
jjhv	基金会
gzhe	苟合
ouuh	殴伤
jkhz	敬候
jkss	敬颂
jksc	警嫂
quww	区位
hhlm	黄昏恋
quji	区级
jkxy	警讯
quui	区市
jktk	警亭
aily	艾伦
ouhx	欧化
umzv	世贸组织
airs	艾绒
qqqz	七擒七纵
mqii	暮气沉沉
bjzu	薄技在身
ggkd	甘瓜苦蒂
vuyu	茱萸
ltbj	落拓不羁
jxzo	巨蟹座
ygzi	药罐子
bdkn	鞭打快牛
mvte	莫扎特
jlxb	匠心
slrw	萨拉热窝
jlqi	匠气
qnbw	七扭八歪
upsd	世乒赛
hrbk	黄热病
jlrf	匠人
dnxj	东挪西借
bfji	苯基
hmyu	黄梅雨
hybi	花样百出
kdia	苦丁茶
bfhr	苯环
hmxi	黄梅戏
qmcc	茜草
bfan	苯胺
cmhv	草木灰
yupb	艺术品
yujp	艺术界
vjmj	蘸满
yutr	艺术团
jbfa	基本法
yuvc	艺术照
keqq	苛求
dldh	东林党
iljs	茶楼酒肆
mkjj	莫可究诘
kedd	苛待
yujx	艺术家
bfff	苯酚
yugr	艺术馆
djyx	荡检逾闲
kejr	苛捐
yumw	艺术美
mgdk	蒙顶
jbqi	警报器
wwhl	萎黄
gsxm	攻陷
yiys	医用
gbfw	工本费
gsig	攻城
ygbs	雅各布森
stls	斯特劳斯
clzi	菜篮子
slui	苏黎世
yiui	医士
yivi	医治
ligu	蓝筹股
yili	医理
hdve	获得者
gsxx	攻下
aawa	艾奥瓦
ypvv	鸦片战争
qnpj	翘盼
huyz	花生油
flpu	菲利浦
yihr	医患
qnzu	翘足
gsjm	攻坚
qwyr	勤务员
yiui	医师
xyfg	薰风
ywui	医务室
yijp	医界
yhyr	颐和园
humi	花生米
yigd	医改
yijx	医家
gsui	攻势
gsxb	攻心
ghvi	共和制
zuyf	葬身鱼腹
yiuu	医术
yiwu	医务
mtle	蒙特利尔
jbsy	戒备森严
skte	斯科特
yike	医科
yibk	医病
gsru	攻入
gsgr	攻关
hujl	花生酱
gsfa	攻伐
gwhv	革委会
gsdu	攻读
qnwh	翘望
xpzu	芯片组
yifh	医方
wwxp	萎谢
jmjx	蒹葭
lwfw	劳务费
jili	蒺藜
yjvc	燕赵
hyym	花颜月貌
gulm	工商联
ntdn	蔫头耷脑
hjve	获奖者
dbqq	东半球
yytn	颐养天年
kiui	苦差事
yjmd	燕麦
yjuj	燕山
mnyx	莫逆于心
gugu	共商国是
ddgo	东道国
yypb	营养品
gxpd	革新派
mtvx	蒙头转向
gujp	工商界
guju	工商局
yzhf	英姿焕发
guye	工商业
bisd	蔽塞
yjer	燕尔
vlvu	芝兰之室
xbxl	薪饷
cybf	苍颜白发
xbjb	薪金
xbxw	项背相望
smdl	苏门答腊
jxge	基辛格
xbfg	薪俸
jnbd	茭白
yjjk	燕京
htbs	黄童白叟
guhu	工商户
yjic	燕巢
pzbc	匹兹堡
ddvu	东道主
qpmo	切莫
qpfu	切肤
xnxm	萧县
qpqp	切切
qphx	切花
qpxx	切下
qzgs	勤杂工
qpqu	切去
xnql	萧墙
qpxt	切削
qpfa	切法
xnuu	萧疏
qppj	切盼
qpdm	切点
xnuj	萧山
gsug	甘肃省
qprz	切肉
qpdh	切当
qpji	切忌
qpgc	切糕
xnrj	萧然
qpdn	切掉
xnsa	萧飒
qpyb	切音
qpjb	切近
qpyc	切要
hxmn	花苗
qijv	鹊巢鸠占
wuyi	巫医
hxjk	花茎
xyma	荨麻
hxqn	花巧
qpvi	切纸
hxjl	花匠
qjwg	欺君误国
qpxi	切细
qpvf	切诊
hxui	花式
jpdi	芥蒂
qpbm	切变
hxcd	花菜
gsju	共聚
iahx	茶花
xlmo	巷陌
cher	苍耳
grjj	工人阶级
hxvr	花砖
gsts	共通
hxtk	花厅
gztd	工作台
gzfu	工作服
iasi	茶肆
jjui	蒋介石
iajm	茶碱
hxfw	花肥
chjb	苍劲
gsxu	共需
hxql	花腔
chls	苍龙
hxtj	花坛
syui	苏伊士
iaih	茶场
gsfu	共赴
iafh	茶坊
hxxx	花下
gsjb	共进
gsui	共事
hxbj	花斑
hxuh	花上
hxyj	花眼
iadm	茶点
iaju	茶具
iath	茶汤
heze	荷泽
iayz	茶油
fvyj	范仲淹
gsuh	共赏
gmpd	革命派
hxqt	花雀
hxii	花池
gsdu	共渡
hxdj	花旦
wuui	巫师
hxdp	花蝶
wugu	巫蛊
hxgo	花果
hxyk	花影
iaba	茶吧
xlkz	巷口
gstk	恭听
hxgu	花骨
hxne	花呢
gsee	共轭
hxdn	花雕
hxjn	花轿
hxjx	花甲
wuuj	巫山
hxvj	花展
gsju	共居
gsvz	共轴
npqk	孽情
hxzi	花籽
hxvu	花烛
hxff	花粉
ialu	茶炉
ialn	茶寮
gsyk	恭迎
gsvu	恭祝
iase	茶色
gmjx	革命家
gswu	共舞
hxvf	花针
gjjm	共价键
bjqq	薄伽丘
iatj	茶摊
hxjk	花镜
iagh	茶缸
vzqr	著作权
hxvi	花枝
gsxl	共相
wuuu	巫术
duxs	东食西宿
hxji	花季
gsug	共生
iapj	茶盘
gsiu	共处
gshe	共和
hxts	花筒
gzvj	工作站
gzjm	工作间
gsuh	共商
iahv	茶会
gsif	恭称
gsij	共产
hxqm	花前
gsgr	共管
hxxm	花线
xldc	巷道
hxcu	花簇
hxjr	花卷
iazi	茶资
vzdu	著作等身
iadc	茶道
hxlk	花翎
gsjm	共建
gsil	共创
gsqk	共庆
ycih	药厂
rfro	荏弱
hxqi	花旗
gsww	共为
iazo	茶座
npyr	孽缘
gsyt	共约
tszi	菟丝子
hxyi	花衣
iatk	茶亭
ycia	药茶
hxui	花市
xbna	萧伯纳
gzzu	工作组
gsyi	共议
ycia	药叉
ycys	药用
ycuj	药膳
swai	苏维埃
ycwh	药王
ycnh	药囊
yyhj	蕴涵
ycxt	药学
jjgo	蒋经国
ycli	药力
ycyu	药浴
ycye	药液
ycli	药理
ycxp	药械
ycuu	药书
ycye	药业
ycww	药味
ycjm	药监
ycju	药具
ycll	药量
ycmk	药名
ycpu	药铺
ycer	药饵
ycns	药农
ycbu	药补
ycln	药料
lbxi	莱比锡
ycdm	药典
ycxl	药箱
ycjm	药检
yczc	药皂
hhll	花红柳绿
yche	药盒
ycvf	药疹
ycxl	药香
ycku	药库
ycfh	药房
ycdj	药单
fhfw	芳菲
xung	蓄能
hllo	荒落
cjge	藏经阁
wwdg	蔚为大观
xuxu	蓄须
mhxn	芒硝
hldi	荒地
fhhy	芳魂
hlpo	荒坡
luid	芦柴
veva	蔗渣
mhci	芒刺
hlvg	荒政
cuih	菜市场
hluj	荒山
fhxb	芳心
xufa	蓄发
htjm	黄庭坚
fhzs	芳踪
hlhj	荒寒
yjui	药剂师
fhtk	芳烃
hlji	荒寂
airj	蔼然
hluu	荒疏
gdug	工读生
xmwd	邪魔外道
fhiy	芳醇
yyjn	英语角
xuui	蓄势
fhxl	芳香
hlji	荒瘠
xuji	蓄积
hlqm	荒歉
clcu	草率从事
phwy	蓬户瓮牖
hlgu	荒谷
hlqi	荒弃
soyi	蓑衣
fhhx	芳华
svui	苏州市
ginz	孤臣孽子
ifug	陈胜
ifyy	陈云
iftc	陈套
altd	阿勒泰
swui	散文诗
ifjq	陈酒
nrvf	聂荣臻
ifmi	陈米
ifvh	陈账
ifqk	陈情
guvg	隔世之感
ugnk	陕甘宁
ifyi	陈毅
ifuc	陈绍
icji	除草剂
aqsh	阿其所好
ifqk	陈请
ifbk	陈兵
ifci	陈词
iumw	陈世美
ifyj	陈言
iffh	陈放
zijt	子爵
iffu	陈腐
ifji	陈迹
ggll	孤孤零零
zigv	子规
zidi	子堤
zixu	子虚
zimu	子目
lltm	聊聊天
hzwh	孩子王
ziui	子时
zisi	子嗣
zijm	子键
zier	子儿
ziju	子句
ziwh	子网
zixi	子息
iixy	陈陈相因
ggdd	孤孤单单
zixu	子婿
ziqy	子群
iirr	出出入入
zivi	子侄
zidd	子代
ziji	子集
zimu	子母
zifh	子房
quqi	取其
yedj	耶诞
juzd	聚在
julo	聚落
quiu	取出
nper	聂耳
juig	聚成
juju	聚聚
npru	颞颥
ihxx	承欢膝下
quld	取来
quma	取码
juvi	聚脂
qugo	取过
qudc	取到
jujm	聚歼
qupk	取平
qufa	取法
qujk	取景
quqi	娶妻
jucd	聚财
npgu	颞骨
quis	取宠
juth	聚糖
quuu	取数
juju	聚居
quvi	取之
quzi	取自
juvi	聚酯
qufj	取反
qucd	取材
juji	聚积
quwu	取物
juls	聚拢
jutz	聚头
qudc	取道
quxl	取向
juuz	聚首
qunc	取闹
julm	聚敛
lhhv	联欢会
qubc	取保
qujm	取件
jujp	聚结
juvs	聚众
jubm	聚变
svdv	随队
juyi	聚议
aksu	阿克苏
juqi	聚齐
quyi	取义
quci	取词
wuqu	卫戍区
doma	堕马
yimm	阳春面
igfg	承奉
igxi	承袭
svxi	随喜
igjn	承教
lsnj	陇南
akdy	阿克顿
igpk	承平
svdc	随到
svdd	随带
sdlq	随大溜
svih	随常
igvr	承转
lshd	陇海
iguh	承上
svuy	随顺
svyr	随员
svie	随车
igyb	承印
vawu	障碍物
igfa	承乏
igqk	承情
molu	陌路
gsiw	隔三差五
igqm	承前
igvi	承制
igdd	承贷
igzo	承做
igvr	承传
igdv	承兑
igbc	承保
igji	承继
svsu	随俗
svji	随记
igyk	承应
ybyb	阴阴
ybgs	阴功
svvz	随州
zunj	阻难
ybdi	阴地
ybmm	阴面
zujp	阻截
zuji	阻击
ybyy	阴云
zuvi	阻滞
ybpk	阴平
ybcc	阴曹
ybui	阴湿
ybxu	阴虚
ybdu	阴毒
ybdm	阴电
ybqk	阴晴
zuee	阻遏
ybsi	阴司
ybvd	阴宅
ybuj	阴山
ybyc	阴爻
ybxk	阴性
ybhv	阴晦
zuni	阻尼
zuxx	阻吓
zuyr	阻援
ybjn	阴角
ybvi	阴鸷
ybqi	阴气
zukh	阻抗
ybhf	阴狠
zugg	阻梗
ybji	阴极
ybhe	阴核
ybsi	阴私
ybde	阴德
ybjm	阴间
ybll	阴凉
ybxm	阴线
ybdc	阴道
ybfu	阴阜
ybwf	阴文
ybxn	阴笑
zuvi	阻值
ybbu	阴部
zujt	阻绝
jvru	降志辱身
lufg	陆丰
ybhu	阴户
luuh	陆上
luif	陆沉
lkuv	陵水
figh	防城港
luhd	陆海
jiyu	际遇
gyyh	孤云野鹤
lujx	陆架
luqn	陆桥
dzya	陡崖
luks	陆空
dzug	陡升
lufg	陆风
dzji	陡急
dzjy	陡峻
dzbi	陡壁
rrji	阮籍
jihv	际会
ludc	陆稻
dzli	陡立
dzdu	陡度
geui	隔世
luli	陆离
lkmn	陵庙
lzxl	陋巷
erji	耳际
lyln	聊一聊
wwdv	卫队
geql	隔墙
ujnj	陕南
wwui	卫士
wwuu	卫戍
wwts	卫通
ergz	耳垢
ertc	耳套
ergu	耳鼓
icqh	除残去秽
erjm	耳尖
lzgv	陋规
geig	隔成
gejl	隔江
geuv	隔水
wwyu	卫浴
eruy	耳顺
erwo	耳蜗
