渐	jmdj
漪	yid
燚	yih
贻	yik
翊	yil
伊	yir
彝	yiv
奕	yiw
怡	yix
淹	yjd
衍	yji
铅	yjj
檐	yjm
鄢	yjv
琰	yjw
酽	yjy
莹	ykc
膺	ykg
鹦	ykk
楹	ykm
嬴	ykw
沅	yrd
鸳	yrx
涌	ysd
泳	ysdy
萸	yuc
浴	yud
鬻	yug
圄	yuk
觎	yur
鹬	yus
谀	yuy
纭	yys
尢	yzu
蚰	yzi
渍	zid
蕃	fjct
麸	fuff
蝠	fuit
赙	fukc
鸱	iid
矶	jiuj
蛎	liiw
栎	liml
蠃	low
洌	lpdd
闾	lvmk
暝	mkob
茉	mocm
祇	qipu
醛	qryw
什	uir
姝	uun
楂	vam
蜇	vef
嵬	wweg
烜	xrh
呷	xxkj
殃	yhdy
痍	yiby
沂	yidj
翳	yikx
翌	yixl
焱	yjhh
阉	yjmd
彧	yua
淤	yudd
咨	zidk
骱	jpg
燠	yuh
乩	jil
殳	uuj
又	y
遮	ve
按	a
吧	b
宝	bc
笨	bf
逼	bi
甭	bg
背	bw
此	c
猜	cd
打	d
达	da
道	dc
逗	dz
嗯	e
非	f
份	ff
疯	fg
复	fu
管	g
搞	gc
钙	gd
哥	ge
官	gr
故	gu
化	h
华	hx
壶	hu
初	i
扯	ie
程	ig
臭	iz
见	j
极	ji
贱	jm
佳	jx
块	k
抠	kz
立	l
溜	lq
嘛	m
骂	ma
美	mw
哪	n
浓	ns
屁	p
期	q
弃	qi
缺	qt
入	r
惹	re
忍	rf
扔	rg
随	s
寺	si
涩	se
它	t
淘	tc
替	ti
舔	tm
通	ts
退	tv
时	u
室	ui
省	ug
守	uz
之	v
症	vg
终	vs
位	w
文	wf
忘	wh
玩	wj
未	ww
性	x
心	xb
型	xk
凶	xs
野	ye
杨	yh
严	yj
园	yr
友	yz
子	z
遭	zc
揍	zz
坐	zo
啱	anku
喎	wokk
閪	hdmx
捱	aift
粄	bjmy
抦	bkfb
㞎	baub
揼	bgfu
揼	bgf
屄	biub
噃	bokt
肏	ccr
肏	ccrr
啲	diku
哋	diky
俤	dirp
掟	dkfr
掟	dkf
唞	dzku
诶	eiyu
奀	enbd
瞓	ffoi
嘅	gekv
咁	gjkg
攰	gvul
啩	gxkb
菓	gocg
菓	goc
㗎	gakm
嚡	hdkt
磺	hlub
磺	hlu
唓	ieki
唓	iek
冚	kjbe
冚	kjb
冧	lbbm
粦	lbml
嚟	liku
躝	ljzj
躝	ljz
〇	lkvv
喥	doky
攞	loff
慜	mbpx
冇	mcuk
冇	mcu
擝	mgfm
搣	mpfm
搣	mpfh
槑	mwkm
唸	nmkx
唸	nmk
嗱	naku
嫐	ncnn
嫐	ncn
囝	jmkz
孃	nlny
撚	nmfh
惗	nmxx
嬲	nntl
嬲	nnt
呯	pkkp
呯	pkk
珮	pwwj
珮	pww
炁	qiah
螓	qbih
螓	qbi
靘	qkfb
郬	qkfe
㞗	qquq
㞗	qqu
佢	qurj
佢	qur
朊	rroe
叒	royy
叒	roy
嘥	sdkr
嗮	sdkx
劏	thxd
薙	ticf
昰	uiov
嗻	vekh
揾	wffm
揾	wff
卌	xial
喺	xikx
係	xirx
嘢	yekl
吔	yeky
咗	zokg
囧	jsk
囧	jskv
鲶	nmax
芶	gzcs
咲	xnkt
畑	tmht
祂	tapy
筊	jnvx
䌷	izsy
堀	kuti
沢	zedi
桜	ykmn
炤	vchk
広	glgs
凪	vijv
喰	cjkl
円	yrka
込	yuzr
雫	nayx
実	uibn
躾	mwud
屌	dnu
砦	vdv
榀	pbm
烎	ybkh
巭	gugf
兲	tmwb
恏	hcnx
氼	niur
鿫	aoqd
鿬	tmut
鿔	gejk
玊	suw
尛	moxx
尛	mox
垅	lstl
埜	yemt
惢	soxx
惢	rvxx
怹	tjrx
羴	ujyy
猋	bnqq
跫	qsgr
瑊	jmwk
玏	lew
玏	lewl
犼	hzqv
跩	vkzy
妳	ninx
昍	xroo
晹	yiow
妉	djnv
妉	djn
琂	yjwk
翧	xrbx
莯	mucm
莀	ifc
莀	ifcn
蕥	yacf
琞	ugoy
婋	xnnj
暒	qkou
玽	gzwk
麤	cugb
焺	ughu
珄	ugw
珃	rjwr
烓	wwht
湦	ugdu
嚱	xikg
豗	hvw
膖	phoz
朒	gaor
揞	anfo
苶	npcx
垇	aota
砳	leuu
畊	ggtj
嬅	hxnl
丼	jkjd
丼	djjd
罥	jrs
骭	gjgg
仌	bkrr
挼	rofn
挼	rxfn
挼	rof
挼	rxf
㨄	vzfk
㨄	vzf
敹	lnlw
敹	lnl
佧	karb
亖	siee
朤	lhoo
灀	uldo
嫮	hunk
菈	lacl
杺	xbmx
枔	xbm
枔	xbmv
荌	ancn
荌	anc
妡	xbnj
姀	henh
沵	midx
妜	jtng
妜	jtn
妜	ytng
妜	ytn
凨	fgjs
凬	fgjo
盻	pjov
盻	xiov
㨃	dvf
㨃	dvfz
槅	geml
鿭	nijx
裯	izpk
欋	qumf
甙	ddy
甙	ddyg
蚵	keik
髟	bnap
瀞	jkdl
瑠	lqwt
䒤	rico
礽	rgpn
咾	lckb
搧	ujfx
崑	kyeb
崑	kye
麃	bngh
麃	pcgh
忈	rfex
濛	mgdu
硷	jmua
氽	tyru
氽	tyr
娭	ainu
毑	jpmy
嗰	gokk
潎	ppdw
啋	cdkm
喐	yuke
嘦	jnkn
姕	zivn
黐	iihd
踎	mzzk
邶	bwa
邶	bwae
渳	mide
膥	cymr
澋	jkdx
㨤	kkff
搲	waf
搲	wafg
嫛	yikn
婗	nine
噷	hmkr
潀	csdr
潀	zsdr
毰	pwmk
毸	sdmx
蟳	xyic
䗉	ihio
楢	yzmy
睖	lgow
旡	jiav
勹	bcpv
嫲	manm
糸	siyx
車	ieal
貝	bwob
馬	maah
魚	yudh
頁	yeab
門	mfla
鳥	nnph
風	fgji
見	jmoe
兒	erje
疌	jpar
拚	pjf
拚	pjfc
拚	pbfc
跍	kuzk
菴	ancd
乇	topq
釆	bmpm
靣	mmak
鬥	dzll
鹵	luld
麥	mdux
黽	mbke
黽	mmke
齊	qiwa
龍	lsla
來	ldmr
㝵	deoc
犮	baud
丌	qial
吋	cykc
畐	fuat
東	dsan
咼	golk
尞	lndx
冓	gzjz
䖝	ispi
氶	igln
氶	vgln
昷	wfom
堯	yctw
坴	lutt
巿	fual
吂	mhwk
夗	wjxv
夗	yrxv
啇	diwk
㧾	hufx
劵	jrjl
娸	qinb
豈	qiea
㒼	mjnr
歲	svvu
夾	jxdr
買	mdsb
賣	mdub
夲	bfdu
岡	ghke
壯	vlpu
畺	jlaa
兩	llar
囪	cspd
亞	yaaa
僉	qmrr
囬	hvka
圖	tukk
㑎	ncre
咅	pzlk
隻	viry
毬	qqmq
員	yrkb
䍃	ycpf
昜	yhow
眞	vfbb
夋	qysw
夌	lktw
蒦	hocy
眾	vssr
肶	biob
肙	yrko
嶅	aofe
襞	biuy
邶	bwle
萆	bicu
舭	bivb
芘	bicb
沘	bidb
苾	bicb
咇	bikb
骉	bnmm
埗	butp
浡	bodz
琲	bwwf
棓	bwmk
皕	bibb
鲌	baab
攽	bjbw
鞁	bwgy
幖	bnjx
馝	bihb
瓿	bulw
跸	bizu
笾	bmvz
褙	bwpo
鹎	bwpn
孛	bwuz
般	bovy
䅟	cjhp
粢	cidm
毳	cvmm
蹾	dyzw
汈	dndd
杕	dimd
饳	doui
阇	dumo
筜	dhve
禘	dipj
鿎	dauz
澹	djdk
羝	diyd
姶	eenk
崿	eeek
偾	ffrr
氾	fjdv
㕮	fukx
垺	futz
蚄	fhif
浲	fgdf
祓	fupd
榖	guuy
牿	gunk
嘏	guuy
䢼	gsce
姽	gvnv
珖	glww
蓇	gucg
馉	guug
廆	gvgg
筦	grve
雊	gzbf
㽏	gjdg
句	gzbk
觚	gudg
縠	huuy
翚	hvxi
冱	hudh
扞	hjfg
烠	hvho
浛	hjdk
㿠	hlbw
镮	hrjy
咍	hdkk
瑝	hlww
漷	hode
锽	hljw
皞	hcbu
艎	hlvw
嗥	hcku
嚆	hckk
烀	huhh
觳	huuy
浍	hvds
锪	hojx
樗	iumk
梴	ijmz
刬	ijjd
摏	isfj
斶	iuji
襜	ijpk
樘	igmt
煁	ifhv
艟	isvl
楮	iumo
雠	izrf
浕	jbdd
蒟	juck
蒺	jicu
芰	jicy
殛	jida
剞	jidd
锩	jrjv
僬	jnrh
楗	jmmz
伋	jirj
岊	jpbe
枅	jimk
泇	jxdk
垍	jitz
恔	jnxx
姞	jink
竫	jkll
枸	jumk
椐	jumk
蜐	jpil
耤	jilo
滘	jndk
瑨	jbwo
漖	jndw
觭	jidk
鹡	jidn
㵐	jtdr
褯	jppj
璥	jkww
穄	jihx
笕	jmve
篯	jmvj
燋	jnhh
澽	judu
璬	jnww
皦	jnbw
瀱	jidd
㴔	jidx
价	jprl
謇	jmbk
瘕	jxby
赆	jbkd
琎	jbwz
匼	kekk
闿	kdmj
悝	lixl
舻	luvu
蓠	licd
鲡	lial
鬲	lial
苈	licl
呖	likl
朸	liml
昽	lsol
珕	liwl
梠	lvmk
倞	llrx
浬	lidl
浰	lidd
桹	lhml
凓	lidm
溇	lzdn
澪	lkds
翷	lbmx
碌	lquu
簏	luvb
铼	ldjl
枥	liml
漤	ljdn
轹	liil
郿	mwve
靺	mogm
鹲	mgcn
蟊	mcsi
瘼	mobd
鄚	mcce
渼	mwdd
藦	mocu
醾	miym
糵	npcm
菍	npcx
鼙	piuu
冯	pkdm
帡	pkjk
舥	pavb
蒱	pucf
簰	pdvu
嚭	piuk
否	pibk
汔	qidq
般	pjvy
鹐	qmdn
褰	qmby
槭	qimx
桤	qimj
愀	qnxh
欹	qidr
汧	qmdk
洓	qidn
埼	qitk
庼	qkgr
焌	quhw
墘	qmtq
碏	qtuo
綮	qihx
蝤	qqiy
吣	qbkx
綮	qkhx
慊	qpxn
稽	qiho
俟	qiru
讱	rfyr
颥	ruyr
凇	ssds
凘	sidj
飔	sijx
穟	svhz
尿	svuu
溏	thdk
埫	thtk
哃	tskk
烶	tkhz
遆	tizj
溚	tadk
忳	tyxt
䗴	tkiz
鄌	thge
煺	tvhz
铴	thjp
筲	ucvo
秫	uuhu
鄃	uure
䴓	uian
浉	uidj
祏	uipu
甡	ufuu
埫	uhtk
畬	uert
鼫	uiju
襫	uipb
汤	uhdp
艏	uzvz
挲	uadu
诜	ufye
炻	uihu
鄯	ujye
芟	ujcy
数	uomw
眚	uguo
柞	vamv
摭	vifh
潴	vudo
轾	viit
卮	vipv
氏	vipv
橥	vuqm
扺	vifu
茋	vicd
泜	vidd
铚	vijt
赒	vzkk
昣	vfop
跱	vizc
滍	vidi
禔	vipr
瑧	vfwh
霅	vayk
蠋	vuii
浈	vfdr
跖	vizu
黹	viyd
邾	vuve
咤	vakq
鄣	vhle
舯	vsvv
屯	vyav
怃	wuxw
铻	wujk
洧	wwdo
沩	wwdw
隈	wwen
郚	wuwe
峗	wwev
珸	wuwk
琟	wwwf
硙	wwuj
痦	wubk
靰	wugw
煟	wwho
溦	wwdw
鳂	wwan
螱	wwui
亹	wwwq
洿	wudk
浯	wudk
鼯	wujk
杌	wumw
镡	xbju
恓	xixx
揳	xpfd
澥	xpdn
豨	xiuj
渫	xpdm
葸	xicx
螅	xiix
榍	xpmo
痃	xrby
旴	xuoy
诇	xsyk
肸	xiou
钘	xkjk
俙	xirj
饻	xiuy
晅	xroa
冔	xuky
崄	xmea
骍	xkmu
琄	xrwo
翈	xxjx
婞	xkng
睎	xioj
醑	xuyo
屃	xiur
穸	xibx
欻	xuhr
湑	xudo
缐	xmsu
瑆	xkwu
谖	xryy
憙	xiux
熻	xihx
谿	xipk
酅	xiee
瓖	xlwy
禊	xipd
舄	xijh
粞	ximx
歙	xirr
燹	xmuh
菥	xicj
筅	xmve
蝓	yuid
艾	yicx
匜	yiky
嵎	yuey
羑	yzyj
剡	yjhd
谳	yjyq
纡	yusy
螈	yrix
伛	yurx
潆	ykdx
窬	yubd
邘	yuye
佁	yirk
沄	yyds
枍	yimv
酏	yiyy
矞	yusk
洢	yidy
骃	ybmd
烻	yjhz
涢	yydr
浟	yzdw
扅	yihx
扆	yihy
勚	yiul
敔	yuww
厣	yjij
鄅	yuye
悆	yurx
涴	yrdv
隩	yued
㙘	yctn
棫	yuma
龂	ybvj
畬	yurt
椸	yimy
潩	yidb
刈	yixd
扊	yjhh
瑀	yuwy
锳	ykjy
筼	yyvr
艅	yuvh
裛	yiwy
鹝	yian
鹢	yibn
潏	yudk
虤	yjhj
繄	yikx
黡	yjih
蟫	ybiu
髃	yugy
嬿	yjnh
堙	ybtt
邪	yeye
悒	yixb
怿	yixl
瘐	yuby
蛘	yhiy
劓	yizd
郾	yjke
羱	yryx
㳚	xudu
熨	yuuh
镱	yijx
虸	ziiz
䎖	zgbx
赀	zivr
挨	aifu
唉	aiku
哀	aiwy
案	anbm
铵	anjn
埯	antd
岙	aoye
畚	bfst
栟	bfmk
煸	bmhc
诐	biyy
笔	bivm
蔀	buce
半	bjdl
爸	babb
把	bafb
丙	bkan
报	bcfy
拔	bafd
吧	bakb
耙	balb
粑	bamb
殡	bbdb
瀑	bcdu
爆	bchu
暴	bcou
褓	bcpm
豹	bcvu
拜	bduf
笨	bfvb
蚌	bhif
棒	bhml
傍	bhrf
玤	bhwf
比	bibb
庇	bigb
闭	bimc
璧	biuy
碧	biwu
避	bizu
搬	bjfy
瓣	bjlu
板	bjmy
般	bjvy
班	bjww
并	bkbk
冰	bkdu
柄	bkmb
饼	bkuk
鞭	bmgg
扁	bmhc
辨	bmlu
编	bmsc
遍	bmzc
标	bnmx
卜	bold
博	bouc
捕	buff
哺	bukf
卜	buld
部	bule
布	buuj
补	bupb
埠	butu
狈	bwqr
碑	bwuu
悖	bwxz
鸨	bcbn
镔	bbjb
龅	bcvs
趵	bczu
稗	bdhu
佰	bdrb
磅	bhuf
必	bidd
秕	bihb
俾	biru
愎	bixw
坂	bjty
槟	bkmb
褊	bmpc
砭	bmuf
忭	bmxb
镖	bnjx
婊	bnny
铂	bojb
钚	bujb
呗	bwkr
杯	bwmb
铋	bijb
阪	bjey
箔	bovb
孛	bouz
犇	bfnn
熜	cshx
次	cidr
词	ciyk
材	cdmc
采	cdpm
苍	chcv
仓	chrv
祠	cipk
辞	ciqu
残	cjdj
蚕	cjti
卒	cuwu
翠	cvxu
漕	ccdo
灿	cjhe
惨	cjxp
搓	cofg
镩	crji
锉	cojt
汆	crru
匆	csbd
琮	cswx
蔟	cucu
萃	cvcu
璀	cvwf
斗	dzdu
垯	datz
渡	dudy
鱽	dcad
䗖	diij
的	dibu
的	debu
读	duyd
瘩	dabk
达	dazd
盗	dcdm
稻	dchj
悼	dcxu
道	dczz
带	ddfj
敦	dvww
代	ddry
澄	dgda
等	dgvc
宕	dhbu
党	dhxe
档	dhme
殿	dmuy
涤	didm
底	digd
缔	disj
帝	diwj
单	djbl
淡	djdh
担	djfa
弹	djgl
蛋	djvi
诞	djyz
顶	dkdr
订	dkyd
惦	dmxk
刁	dnva
夺	dodc
朵	dojm
驮	domd
多	doxx
迭	dpzu
端	drle
断	drmj
栋	dsmd
度	dugy
都	dule
妒	dunh
牍	dupd
独	duqi
钝	dyjt
吨	dykt
敦	dyww
抖	dzfu
都	dzle
胆	djoa
膻	djoa
鞑	dagz
妲	dana
褡	dapk
氘	dcql
殆	dddk
谠	dhye
氐	diud
谛	diyj
啖	djkh
箪	djvl
惮	djxl
簟	dmvu
凋	dndk
牒	dppm
煅	drhy
咚	dskd
垌	dstk
黩	duhd
蠹	duai
怼	dvyx
哒	dakz
垛	dotm
咡	erke
愕	eexk
耳	eraa
贰	eryr
佴	erre
铒	erje
厄	eeiv
嗯	enkx
芙	fucf
砆	fuuf
法	fads
阀	famg
分	ffbd
吩	ffkd
粉	ffmd
芬	ffcd
冯	fgdm
奉	fgfl
蜂	fgif
放	fhfw
妨	fhnf
肪	fhof
仿	fhrf
访	fhyf
烦	fjhr
凡	fjjd
贩	fjky
翻	fjpx
矾	fjuf
副	fuad
凫	fupj
斐	fwfw
废	fwgd
夫	fuan
富	fubt
扶	fuff
馥	fuhw
府	fugc
敷	fufw
辅	fuif
脯	fuof
付	furc
俯	furc
弗	fuvl
驸	fumc
匪	fwkf
榧	fwmf
妃	fwnj
诽	fwyf
纷	ffsd
赋	fukv
汾	ffdd
玢	ffwd
彷	fhif
枋	fhmf
舫	fhvf
钒	fjjf
樊	fjmd
梵	fjmf
蜉	fuiz
讣	fuyb
跗	fuzc
痱	fwbf
唪	fgkl
硌	geuk
铬	gejk
梗	ggmg
贯	grgr
馃	goug
唝	gskr
镐	gcjk
羔	gcyh
盖	gdym
歌	gedr
格	gemk
阁	gemk
缸	ghfg
杆	gjmg
肝	gjog
虢	gopj
赶	gjtg
敢	gjvw
锅	gojn
过	gozc
官	grbk
罐	grff
棺	grmk
贡	gsgr
汞	gsgu
躬	gsug
谷	gubk
沽	gudk
固	gukk
姑	gunk
股	guoy
鼓	guuy
贾	guxr
龟	gvdv
归	gvle
桂	gvmt
诡	gvyv
跪	gvzv
沟	gzds
鞲	gzgr
钢	ghjx
槁	gcmk
篙	gcvk
稿	gchk
庚	gggn
杠	ghmg
淦	gjdj
莞	grce
龚	gslb
钴	gujk
诂	guyk
庋	gvgy
癸	gvvt
剐	gxkd
栝	gxmk
磙	gyuy
枸	gzmk
疳	gjbg
筻	ghvg
馘	goba
戤	gdng
蜾	goig
翃	hsux
竑	hsls
鞨	hegv
阚	hjmw
隳	hvex
熇	hehk
薅	hccc
号	hckv
翯	hexk
耗	hclm
貉	hcvk
豪	hcwu
镐	hcjk
害	hdbk
还	hdzb
荷	heck
河	hedk
核	hemr
合	herk
衡	hgii
狠	hfqg
恨	hfxg
行	hhii
杭	hhmj
怀	hkxb
航	hhvj
捍	hjfg
徊	hkik
皇	hlbw
煌	hlhw
蝗	hliw
凰	hljw
恍	hlxw
谎	hlyv
豁	hobk
惑	hogx
涣	hrdd
焕	hrhd
缓	hrsy
欢	hryr
沪	hudh
户	hudu
护	hufh
虎	huhj
胡	huuo
汇	hvdk
秽	hvhx
会	hvrs
灰	hvuh
悔	hvxm
滑	hxdg
划	hxgd
桦	hxmu
候	hzru
糇	hzmu
嗬	hekk
皓	hcbk
濠	hcdu
骸	hdgr
涸	hedk
诃	heyk
蚶	hjig
湟	hldw
崡	hjek
邯	hjge
隍	hlew
奂	hrdd
豢	hrju
蕻	hscb
泓	hsds
轰	hsiy
斛	hudu
怙	huxk
烩	hvhs
珲	hvwi
铧	hxju
骅	hxmu
珲	hywi
瘊	hzbu
齁	hzzk
黉	hsxb
杻	izmi
焯	ichu
忡	isxv
珵	igww
蝉	ijil
馋	ijud
忏	ijxq
梣	ifmv
漦	iiwu
噇	ilkl
厨	iuic
茺	isce
插	iafj
查	iama
抄	icfu
炒	ichu
绰	icsu
超	ictk
撤	iefw
衬	ifpc
撑	igfu
诚	igyi
长	ihpn
巢	icvg
吵	icku
潮	icdo
池	iidy
媸	iini
侈	iirx
齿	iivk
迟	iizi
铲	ijji
啴	ijkl
禅	ijpl
搋	ikfj
闯	ilmm
喘	irke
充	iswe
穿	irby
触	iudi
锄	iujl
初	iupd
础	iuui
淳	iydz
醇	iyyz
愁	izhx
赤	iitd
镲	iajx
碴	iaua
耖	iclu
钗	idji
车	ieal
沉	ifdj
砗	ieui
抻	iffu
瞠	igot
苌	ihci
徜	ihik
氅	ihxm
茌	iicu
鸱	iidn
蚩	iivi
浐	ijdi
潺	ijdz
谄	ijyj
踔	iozu
氚	irqi
舂	isfj
种	ishv
憧	isxl
蜍	iuih
绌	iusi
怵	iuxu
鹑	iywn
惆	izxk
槌	ivmz
怊	icxk
铖	igji
烬	jbhd
龟	jydv
鋆	jytj
荆	jkcd
绢	jrso
柩	jqmj
炬	juhj
挤	jifl
眷	jrjo
监	jmlm
津	jbdy
尽	jbid
巾	jbll
劲	jbvl
谨	jbya
近	jbzj
锦	jbjj
击	jiak
寄	jibk
藉	jico
急	jidx
奇	jidk
即	jige
稽	jiho
忌	jijx
唧	jike
冀	jilb
机	jimj
嫉	jinu
及	jipn
系	jipx
基	jiqt
级	jisj
继	jisv
辑	jiie
圾	jitj
己	jivv
记	jiyj
计	jiyu
迹	jizd
径	jkig
竟	jkle
靖	jklo
精	jkmo
晶	jkoo
兢	jkue
劲	jkvl
京	jkwx
惊	jkxx
将	jldc
礓	jlua
讲	jlyj
煎	jmbh
兼	jmbn
溅	jmdj
减	jmdk
捡	jmfa
鞯	jmgz
肩	jmho
见	jmke
坚	jmlt
检	jmma
槛	jmmm
间	jmmo
件	jmrn
蕉	jnch
较	jnix
叫	jnkl
娇	jnnl
焦	jnrh
礁	jnuh
酵	jnyz
敫	jnbw
接	jpfn
洁	jpdk
戒	jpgc
秸	jphk
街	jpii
竭	jplv
界	jptl
诫	jpyc
究	jqbj
疚	jqbj
舅	jqjl
玖	jqwj
卷	jrjv
决	jtdg
绝	jtsb
玦	jtwg
砄	jtug
句	jubk
沮	judq
拒	jufj
据	jufk
锯	jujk
桔	jumk
橘	jumk
具	juqb
局	juuk
龃	juvq
惧	juxb
举	juxl
距	juzj
家	jxbu
荚	jxcj
浃	jxdj
稼	jxhu
钾	jxjj
加	jxlk
架	jxlm
嫁	jxnu
假	jxry
嘉	jxuk
焌	jyhw
骏	jymw
君	jyyk
炅	jsoh
妗	jbnv
缙	jbso
矜	jbsv
觊	jiee
嵇	jihe
骥	jimb
戟	jiug
蓟	jicd
笈	jivj
玑	jiwj
腈	jkoo
憬	jkxx
净	jkdl
柬	jman
僭	jmro
戬	jmyg
谏	jmyj
窖	jnbk
峤	jnel
铰	jnjx
醮	jnyh
桀	jpxm
诘	jpyk
揪	jqfh
炯	jshk
爝	jthc
苣	jucj
飓	jujb
趄	jutq
琚	juwk
遽	juzu
蛱	jxij
镓	jxju
枷	jxmk
迦	jxzk
麇	jygh
竣	jylw
迳	jkzg
醵	juyu
骱	jpgl
乩	jilv
诳	klyw
克	keue
炌	kdhl
硁	kgug
咖	kakk
考	kclv
客	kebk
渴	kedv
颗	kegr
科	kehu
棵	kemg
坷	ketk
刻	kewd
炕	khhj
馗	kvjz
会	kkrs
枯	kumk
叩	kzke
阔	komk
坑	kgtj
窟	kubi
尻	kcuj
恪	kexk
贶	klke
匡	klkw
刳	kudd
喾	kuxk
睽	kvot
逵	kvzt
垲	kdtj
恳	kfgx
轲	keik
濑	lddr
箓	luvu
氯	lvqu
吏	lian
蠃	lowf
坽	lkts
滦	lrdm
悢	llxl
勠	luxl
憭	lnxx
簕	levl
徕	ldil
廖	lngp
尥	lnyu
聋	lsle
喇	lakd
酪	lcyk
冷	lgds
牢	lcbn
烺	lhhl
痢	libd
莉	licd
荔	licl
漓	lidd
利	lihd
历	liil
哩	likl
例	lird
砾	liul
离	liwd
璃	liwd
栗	lixm
览	ljle
缆	ljse
谰	ljyj
岭	lkes
龄	lkvs
令	lkrs
零	lkys
羚	lkys
莨	llcl
梁	lldm
粱	lldm
俩	llrl
亮	llwj
谅	llyx
帘	lmbj
练	lmsd
楝	lmmj
连	lmzi
疗	lnbl
洛	lodk
骡	lomx
列	lpdd
咧	lpkd
流	lqdv
硫	lquv
窿	lsbu
胧	lsol
芦	luch
赂	lukk
卢	lulu
绿	lusu
碌	luuu
露	luyk
虑	lvhx
铝	lvjk
蕾	lwct
勒	lwgl
伦	lyrb
漏	lzdy
娄	lzmn
林	lbmm
乐	lcpd
潦	lndx
辚	lbil
嘞	lekl
莨	lhcl
锂	lijl
郦	lile
鹂	liln
骊	liml
俚	lirl
蠡	livi
逦	lizl
滥	ljdm
褴	ljpm
泠	lkds
呤	lkks
囹	lkks
辆	llil
魉	llgl
殓	lmda
雒	lowf
躐	lpzv
骝	lqmt
镏	lqjt
鸾	lrwn
泸	ludu
轳	luiu
橹	lumo
垆	lutu
嘞	lwkl
偻	lzrn
瞵	lbol
楞	lgmf
鬣	lpav
墚	lltm
鹨	lqxn
镂	lzjn
蝥	mcsi
芈	mill
庙	mngy
吗	makm
嘛	makm
妈	manm
玟	mbww
马	mava
貌	mcve
萌	mgco
锰	mgjm
芒	mhcw
蜜	mibi
米	midm
弥	migx
眯	miom
谜	miyz
铭	mkjk
酩	mkyk
名	mkxk
丏	mmav
免	mmdv
愐	mmxm
杪	mnmu
寞	mobd
蘑	mocu
漠	modd
没	mody
摩	mogu
磨	mogu
姆	munm
魅	mwgw
枚	mwmw
媒	mwnm
每	mwpm
玫	mwww
霉	mwym
忙	mhxw
秒	mnhu
荬	mdcd
艨	mgvu
麋	migm
幔	mjjy
缦	mjsy
沔	mmdm
眄	mmom
缈	mnsu
耱	molu
嬷	monm
苜	muco
寐	mwbw
淼	mnuu
没	mwdy
袂	mwpg
眉	mwvo
鳗	mjay
钠	najn
哪	nake
拿	naru
那	nave
恁	nbrx
恼	ncxk
霓	niye
南	njug
蝻	njig
娘	nlnl
撵	nmfi
黏	nmhk
农	nsdn
哪	nwke
妞	nqni
佴	ndre
咛	nkkd
狃	nqqi
怒	nunx
呕	oukx
帕	pajb
配	pwyj
爬	pavb
泡	pcds
炮	pchs
袍	pcps
拍	pdfb
彭	pgup
庞	phgl
螃	phif
啤	piku
脾	piou
僻	piru
屁	piub
枇	pimb
皮	pivy
霹	piyu
盘	pjvm
瓶	pkbw
萍	pkcp
扁	pmhc
票	pnxx
莆	pucf
瀑	pudu
