漸	jmdj
醺	xyy
衙	yai
訝	yay
齦	ybv
漾	yhd
肄	yib
漪	yid
燚	yih
貽	yik
翊	yil
伊	yir
彝	yiv
奕	yiw
怡	yix
淹	yjd
衍	yji
鉛	yjj
檐	yjm
鄢	yjv
琰	yjw
釅	yjy
瑩	ykc
膺	ykg
鸚	ykk
楹	ykm
嬴	ykw
沅	yrd
鴛	yrx
涌	ysd
泳	ysdy
萸	yuc
浴	yud
鬻	yug
圄	yuk
覦	yur
鷸	yus
諛	yuy
紜	yys
尢	yzu
蚰	yzi
漬	zid
蕃	fjct
麩	fuff
蝠	fuit
賻	fukc
鴟	iid
磯	jiuj
蠣	liiw
櫟	liml
蠃	low
洌	lpdd
閭	lvmk
暝	mkob
茉	mocm
祇	qipu
醛	qryw
什	uir
姝	uun
楂	vam
蜇	vef
嵬	wweg
烜	xrh
呷	xxkj
殃	yhdy
痍	yiby
沂	yidj
翳	yikx
翌	yixl
焱	yjhh
閹	yjmd
彧	yua
淤	yudd
咨	zidk
骱	jpg
燠	yuh
乩	jil
殳	uuj
又	y
遮	ve
按	a
吧	b
寶	bc
笨	bf
逼	bi
甭	bg
背	bw
此	c
猜	cd
打	d
達	da
道	dc
逗	dz
嗯	e
非	f
份	ff
瘋	fg
復	fu
管	g
搞	gc
鈣	gd
哥	ge
官	gr
故	gu
化	h
華	hx
壺	hu
初	i
扯	ie
程	ig
臭	iz
見	j
極	ji
賤	jm
佳	jx
塊	k
摳	kz
立	l
溜	lq
嘛	m
罵	ma
美	mw
哪	n
濃	ns
屁	p
期	q
棄	qi
缺	qt
入	r
惹	re
忍	rf
扔	rg
隨	s
寺	si
澀	se
它	t
淘	tc
替	ti
舔	tm
通	ts
退	tv
時	u
室	ui
省	ug
守	uz
之	v
癥	vg
終	vs
位	w
文	wf
忘	wh
玩	wj
未	ww
性	x
心	xb
型	xk
兇	xs
野	ye
楊	yh
嚴	yj
園	yr
友	yz
子	z
遭	zc
揍	zz
坐	zo
啱	anku
喎	wokk
閪	hdmx
捱	aift
粄	bjmy
抦	bkfb
?	baub
揼	bgfu
揼	bgf
屄	biub
噃	bokt
肏	ccr
肏	ccrr
啲	diku
哋	diky
俤	dirp
掟	dkfr
掟	dkf
唞	dzku
誒	eiyu
奀	enbd
瞓	ffoi
嘅	gekv
咁	gjkg
攰	gvul
啩	gxkb
菓	gocg
菓	goc
?	gakm
嚡	hdkt
磺	hlub
磺	hlu
唓	ieki
唓	iek
冚	kjbe
冚	kjb
冧	lbbm
粦	lbml
嚟	liku
躝	ljzj
躝	ljz
〇	lkvv
喥	doky
攞	loff
慜	mbpx
冇	mcuk
冇	mcu
擝	mgfm
搣	mpfm
搣	mpfh
槑	mwkm
唸	nmkx
唸	nmk
嗱	naku
嫐	ncnn
嫐	ncn
囝	jmkz
孃	nlny
撚	nmfh
惗	nmxx
嬲	nntl
嬲	nnt
呯	pkkp
呯	pkk
珮	pwwj
珮	pww
炁	qiah
螓	qbih
螓	qbi
靘	qkfb
郬	qkfe
?	qquq
?	qqu
佢	qurj
佢	qur
朊	rroe
叒	royy
叒	roy
嘥	sdkr
嗮	sdkx
劏	thxd
薙	ticf
昰	uiov
嗻	vekh
揾	wffm
揾	wff
卌	xial
喺	xikx
係	xirx
嘢	yekl
吔	yeky
咗	zokg
囧	jsk
囧	jskv
鯰	nmax
芶	gzcs
咲	xnkt
畑	tmht
祂	tapy
筊	jnvx
?	izsy
堀	kuti
沢	zedi
桜	ykmn
炤	vchk
広	glgs
凪	vijv
喰	cjkl
円	yrka
込	yuzr
雫	nayx
実	uibn
躾	mwud
屌	dnu
砦	vdv
榀	pbm
烎	ybkh
巭	gugf
兲	tmwb
恏	hcnx
氼	niur
?	aoqd
?	tmut
?	gejk
玊	suw
尛	moxx
尛	mox
垅	lstl
埜	yemt
惢	soxx
惢	rvxx
怹	tjrx
羴	ujyy
猋	bnqq
跫	qsgr
瑊	jmwk
玏	lew
玏	lewl
犼	hzqv
跩	vkzy
妳	ninx
昍	xroo
晹	yiow
妉	djnv
妉	djn
琂	yjwk
翧	xrbx
莯	mucm
莀	ifc
莀	ifcn
蕥	yacf
琞	ugoy
婋	xnnj
暒	qkou
玽	gzwk
麤	cugb
焺	ughu
珄	ugw
珃	rjwr
烓	wwht
湦	ugdu
嚱	xikg
豗	hvw
膖	phoz
朒	gaor
揞	anfo
苶	npcx
垇	aota
砳	leuu
畊	ggtj
嬅	hxnl
丼	jkjd
丼	djjd
罥	jrs
骭	gjgg
仌	bkrr
挼	rofn
挼	rxfn
挼	rof
挼	rxf
?	vzfk
?	vzf
敹	lnlw
敹	lnl
佧	karb
亖	siee
朤	lhoo
灀	uldo
嫮	hunk
菈	lacl
杺	xbmx
枔	xbm
枔	xbmv
荌	ancn
荌	anc
妡	xbnj
姀	henh
沵	midx
妜	jtng
妜	jtn
妜	ytng
妜	ytn
凨	fgjs
凬	fgjo
盻	pjov
盻	xiov
?	dvf
?	dvfz
槅	geml
?	nijx
裯	izpk
欋	qumf
甙	ddy
甙	ddyg
蚵	keik
髟	bnap
瀞	jkdl
瑠	lqwt
?	rico
礽	rgpn
咾	lckb
搧	ujfx
崑	kyeb
崑	kye
麃	bngh
麃	pcgh
忈	rfex
濛	mgdu
鹼	jmua
氽	tyru
氽	tyr
娭	ainu
毑	jpmy
嗰	gokk
潎	ppdw
啋	cdkm
喐	yuke
嘦	jnkn
姕	zivn
黐	iihd
踎	mzzk
邶	bwa
邶	bwae
渳	mide
膥	cymr
澋	jkdx
?	kkff
搲	waf
搲	wafg
嫛	yikn
婗	nine
噷	hmkr
潀	csdr
潀	zsdr
毰	pwmk
毸	sdmx
蟳	xyic
?	ihio
楢	yzmy
睖	lgow
旡	jiav
勹	bcpv
嫲	manm
糸	siyx
車	ieal
貝	bwob
馬	maah
魚	yudh
頁	yeab
門	mfla
鳥	nnph
風	fgji
見	jmoe
兒	erje
疌	jpar
拚	pjf
拚	pjfc
拚	pbfc
跍	kuzk
菴	ancd
乇	topq
釆	bmpm
靣	mmak
鬥	dzll
鹵	luld
麥	mdux
黽	mbke
黽	mmke
齊	qiwa
龍	lsla
來	ldmr
?	deoc
犮	baud
丌	qial
吋	cykc
畐	fuat
東	dsan
咼	golk
尞	lndx
冓	gzjz
?	ispi
氶	igln
氶	vgln
昷	wfom
堯	yctw
坴	lutt
巿	fual
吂	mhwk
夗	wjxv
夗	yrxv
啇	diwk
?	hufx
劵	jrjl
娸	qinb
豈	qiea
?	mjnr
歲	svvu
夾	jxdr
買	mdsb
賣	mdub
夲	bfdu
岡	ghke
壯	vlpu
畺	jlaa
兩	llar
囪	cspd
亞	yaaa
僉	qmrr
囬	hvka
圖	tukk
?	ncre
咅	pzlk
隻	viry
毬	qqmq
員	yrkb
?	ycpf
昜	yhow
眞	vfbb
夋	qysw
夌	lktw
蒦	hocy
眾	vssr
肶	biob
肙	yrko
嶅	aofe
襞	biuy
邶	bwle
萆	bicu
舭	bivb
芘	bicb
沘	bidb
苾	bicb
咇	bikb
骉	bnmm
埗	butp
浡	bodz
琲	bwwf
棓	bwmk
皕	bibb
鲌	baab
攽	bjbw
鞁	bwgy
幖	bnjx
馝	bihb
瓿	bulw
蹕	bizu
籩	bmvz
褙	bwpo
鵯	bwpn
孛	bwuz
般	bovy
?	cjhp
粢	cidm
毳	cvmm
蹾	dyzw
汈	dndd
杕	dimd
饳	doui
阇	dumo
筜	dhve
禘	dipj
?	dauz
澹	djdk
羝	diyd
姶	eenk
崿	eeek
僨	ffrr
氾	fjdv
?	fukx
垺	futz
蚄	fhif
浲	fgdf
祓	fupd
榖	guuy
牿	gunk
嘏	guuy
?	gsce
姽	gvnv
珖	glww
蓇	gucg
馉	guug
廆	gvgg
筦	grve
雊	gzbf
?	gjdg
句	gzbk
觚	gudg
縠	huuy
翚	hvxi
冱	hudh
捍	hjfg
烠	hvho
浛	hjdk
?	hlbw
镮	hrjy
咍	hdkk
瑝	hlww
漷	hode
锽	hljw
皞	hcbu
艎	hlvw
嗥	hcku
嚆	hckk
烀	huhh
觳	huuy
澮	hvds
锪	hojx
樗	iumk
梴	ijmz
刬	ijjd
摏	isfj
斶	iuji
襜	ijpk
樘	igmt
煁	ifhv
艟	isvl
楮	iumo
讎	izrf
浕	jbdd
蒟	juck
蒺	jicu
芰	jicy
殛	jida
剞	jidd
錈	jrjv
僬	jnrh
楗	jmmz
伋	jirj
岊	jpbe
枅	jimk
泇	jxdk
垍	jitz
恔	jnxx
姞	jink
竫	jkll
枸	jumk
椐	jumk
蜐	jpil
耤	jilo
滘	jndk
瑨	jbwo
漖	jndw
觭	jidk
鹡	jidn
?	jtdr
褯	jppj
璥	jkww
穄	jihx
筧	jmve
篯	jmvj
燋	jnhh
澽	judu
璬	jnww
皦	jnbw
瀱	jidd
?	jidx
價	jprl
謇	jmbk
瘕	jxby
贐	jbkd
琎	jbwz
匼	kekk
闿	kdmj
悝	lixl
艫	luvu
蘺	licd
鱺	lial
鬲	lial
藶	licl
嚦	likl
朸	liml
昽	lsol
珕	liwl
梠	lvmk
倞	llrx
浬	lidl
浰	lidd
桹	lhml
凓	lidm
溇	lzdn
澪	lkds
翷	lbmx
碌	lquu
簏	luvb
錸	ldjl
櫪	liml
漤	ljdn
轢	liil
郿	mwve
靺	mogm
鹲	mgcn
蟊	mcsi
瘼	mobd
鄚	mcce
渼	mwdd
藦	mocu
醾	miym
糵	npcm
菍	npcx
鼙	piuu
馮	pkdm
帡	pkjk
舥	pavb
蒱	pucf
簰	pdvu
嚭	piuk
否	pibk
汔	qidq
般	pjvy
鹐	qmdn
褰	qmby
槭	qimx
榿	qimj
愀	qnxh
欹	qidr
汧	qmdk
洓	qidn
埼	qitk
庼	qkgr
焌	quhw
墘	qmtq
碏	qtuo
綮	qihx
蝤	qqiy
吣	qbkx
綮	qkhx
慊	qpxn
稽	qiho
俟	qiru
讱	rfyr
颥	ruyr
凇	ssds
凘	sidj
飔	sijx
穟	svhz
尿	svuu
溏	thdk
埫	thtk
哃	tskk
烶	tkhz
遆	tizj
溚	tadk
忳	tyxt
?	tkiz
鄌	thge
煺	tvhz
鐋	thjp
筲	ucvo
秫	uuhu
鄃	uure
?	uian
浉	uidj
祏	uipu
甡	ufuu
埫	uhtk
畬	uert
鼫	uiju
襫	uipb
湯	uhdp
艏	uzvz
挲	uadu
詵	ufye
炻	uihu
鄯	ujye
芟	ujcy
數	uomw
眚	uguo
柞	vamv
摭	vifh
潴	vudo
輊	viit
卮	vipv
氏	vipv
橥	vuqm
扺	vifu
茋	vicd
泜	vidd
铚	vijt
赒	vzkk
昣	vfop
跱	vizc
滍	vidi
禔	vipr
瑧	vfwh
霅	vayk
蠋	vuii
湞	vfdr
跖	vizu
黹	viyd
邾	vuve
咤	vakq
鄣	vhle
舯	vsvv
屯	vyav
憮	wuxw
铻	wujk
洧	wwdo
溈	wwdw
隈	wwen
郚	wuwe
峗	wwev
珸	wuwk
琟	wwwf
硙	wwuj
痦	wubk
靰	wugw
煟	wwho
溦	wwdw
鳂	wwan
螱	wwui
亹	wwwq
洿	wudk
浯	wudk
鼯	wujk
杌	wumw
鐔	xbju
恓	xixx
揳	xpfd
澥	xpdn
豨	xiuj
渫	xpdm
葸	xicx
螅	xiix
榍	xpmo
痃	xrby
旴	xuoy
诇	xsyk
肸	xiou
钘	xkjk
俙	xirj
饻	xiuy
晅	xroa
冔	xuky
崄	xmea
骍	xkmu
琄	xrwo
翈	xxjx
婞	xkng
睎	xioj
醑	xuyo
屃	xiur
穸	xibx
欻	xuhr
湑	xudo
缐	xmsu
瑆	xkwu
諼	xryy
憙	xiux
熻	xihx
谿	xipk
酅	xiee
瓖	xlwy
禊	xipd
舄	xijh
粞	ximx
歙	xirr
燹	xmuh
菥	xicj
筅	xmve
蝓	yuid
艾	yicx
匜	yiky
嵎	yuey
羑	yzyj
剡	yjhd
讞	yjyq
紆	yusy
螈	yrix
傴	yurx
瀠	ykdx
窬	yubd
邘	yuye
佁	yirk
沄	yyds
枍	yimv
酏	yiyy
矞	yusk
洢	yidy
骃	ybmd
烻	yjhz
涢	yydr
浟	yzdw
扅	yihx
扆	yihy
勚	yiul
敔	yuww
厴	yjij
鄅	yuye
悆	yurx
涴	yrdv
隩	yued
?	yctn
棫	yuma
龂	ybvj
畬	yurt
椸	yimy
潩	yidb
刈	yixd
扊	yjhh
瑀	yuwy
锳	ykjy
筼	yyvr
艅	yuvh
裛	yiwy
鹝	yian
鹢	yibn
潏	yudk
虤	yjhj
繄	yikx
黡	yjih
蟫	ybiu
髃	yugy
嬿	yjnh
堙	ybtt
邪	yeye
悒	yixb
懌	yixl
瘐	yuby
蛘	yhiy
劓	yizd
郾	yjke
羱	yryx
?	xudu
熨	yuuh
鐿	yijx
虸	ziiz
?	zgbx
貲	zivr
挨	aifu
唉	aiku
哀	aiwy
案	anbm
銨	anjn
埯	antd
岙	aoye
畚	bfst
栟	bfmk
煸	bmhc
诐	biyy
筆	bivm
蔀	buce
半	bjdl
爸	babb
把	bafb
丙	bkan
報	bcfy
拔	bafd
吧	bakb
耙	balb
粑	bamb
殯	bbdb
瀑	bcdu
爆	bchu
暴	bcou
褓	bcpm
豹	bcvu
拜	bduf
笨	bfvb
蚌	bhif
棒	bhml
傍	bhrf
玤	bhwf
比	bibb
庇	bigb
閉	bimc
璧	biuy
碧	biwu
避	bizu
搬	bjfy
瓣	bjlu
板	bjmy
般	bjvy
班	bjww
并	bkbk
冰	bkdu
柄	bkmb
餅	bkuk
鞭	bmgg
扁	bmhc
辨	bmlu
編	bmsc
遍	bmzc
標	bnmx
卜	bold
博	bouc
捕	buff
哺	bukf
卜	buld
部	bule
布	buuj
補	bupb
埠	butu
狽	bwqr
碑	bwuu
悖	bwxz
鴇	bcbn
鑌	bbjb
齙	bcvs
趵	bczu
稗	bdhu
佰	bdrb
磅	bhuf
必	bidd
秕	bihb
俾	biru
愎	bixw
坂	bjty
檳	bkmb
褊	bmpc
砭	bmuf
忭	bmxb
鏢	bnjx
婊	bnny
鉑	bojb
钚	bujb
唄	bwkr
杯	bwmb
鉍	bijb
阪	bjey
箔	bovb
孛	bouz
犇	bfnn
熜	cshx
次	cidr
詞	ciyk
材	cdmc
采	cdpm
蒼	chcv
倉	chrv
祠	cipk
辭	ciqu
殘	cjdj
蠶	cjti
卒	cuwu
翠	cvxu
漕	ccdo
燦	cjhe
慘	cjxp
搓	cofg
镩	crji
銼	cojt
汆	crru
匆	csbd
琮	cswx
蔟	cucu
萃	cvcu
璀	cvwf
斗	dzdu
垯	datz
渡	dudy
鱽	dcad
?	diij
的	dibu
的	debu
讀	duyd
瘩	dabk
達	dazd
盜	dcdm
稻	dchj
悼	dcxu
道	dczz
帶	ddfj
敦	dvww
代	ddry
澄	dgda
等	dgvc
宕	dhbu
黨	dhxe
檔	dhme
殿	dmuy
滌	didm
底	digd
締	disj
帝	diwj
單	djbl
淡	djdh
擔	djfa
彈	djgl
蛋	djvi
誕	djyz
頂	dkdr
訂	dkyd
惦	dmxk
刁	dnva
奪	dodc
朵	dojm
馱	domd
多	doxx
迭	dpzu
端	drle
斷	drmj
棟	dsmd
度	dugy
都	dule
妒	dunh
牘	dupd
獨	duqi
鈍	dyjt
噸	dykt
敦	dyww
抖	dzfu
都	dzle
膽	djoa
膻	djoa
韃	dagz
妲	dana
褡	dapk
氘	dcql
殆	dddk
讜	dhye
氐	diud
諦	diyj
啖	djkh
簞	djvl
憚	djxl
簟	dmvu
凋	dndk
牒	dppm
煅	drhy
咚	dskd
垌	dstk
黷	duhd
蠹	duai
懟	dvyx
噠	dakz
垛	dotm
咡	erke
愕	eexk
耳	eraa
貳	eryr
佴	erre
鉺	erje
厄	eeiv
嗯	enkx
芙	fucf
砆	fuuf
法	fads
閥	famg
分	ffbd
吩	ffkd
粉	ffmd
芬	ffcd
馮	fgdm
奉	fgfl
蜂	fgif
放	fhfw
妨	fhnf
肪	fhof
仿	fhrf
訪	fhyf
煩	fjhr
凡	fjjd
販	fjky
翻	fjpx
礬	fjuf
副	fuad
鳧	fupj
斐	fwfw
廢	fwgd
夫	fuan
富	fubt
扶	fuff
馥	fuhw
府	fugc
敷	fufw
輔	fuif
脯	fuof
付	furc
俯	furc
弗	fuvl
駙	fumc
匪	fwkf
榧	fwmf
妃	fwnj
誹	fwyf
紛	ffsd
賦	fukv
汾	ffdd
玢	ffwd
彷	fhif
枋	fhmf
舫	fhvf
釩	fjjf
樊	fjmd
梵	fjmf
蜉	fuiz
訃	fuyb
跗	fuzc
痱	fwbf
唪	fgkl
硌	geuk
鉻	gejk
梗	ggmg
貫	grgr
馃	goug
唝	gskr
鎬	gcjk
羔	gcyh
蓋	gdym
歌	gedr
格	gemk
閣	gemk
缸	ghfg
桿	gjmg
肝	gjog
虢	gopj
趕	gjtg
敢	gjvw
鍋	gojn
過	gozc
官	grbk
罐	grff
棺	grmk
貢	gsgr
汞	gsgu
躬	gsug
谷	gubk
沽	gudk
固	gukk
姑	gunk
股	guoy
鼓	guuy
賈	guxr
龜	gvdv
歸	gvle
桂	gvmt
詭	gvyv
跪	gvzv
溝	gzds
鞲	gzgr
鋼	ghjx
槁	gcmk
篙	gcvk
稿	gchk
庚	gggn
杠	ghmg
淦	gjdj
莞	grce
龔	gslb
鈷	gujk
詁	guyk
庋	gvgy
癸	gvvt
剮	gxkd
栝	gxmk
磙	gyuy
枸	gzmk
疳	gjbg
筻	ghvg
馘	goba
戤	gdng
蜾	goig
翃	hsux
竑	hsls
鞨	hegv
闞	hjmw
隳	hvex
熇	hehk
薅	hccc
號	hckv
翯	hexk
耗	hclm
貉	hcvk
豪	hcwu
鎬	hcjk
害	hdbk
還	hdzb
荷	heck
河	hedk
核	hemr
合	herk
衡	hgii
狠	hfqg
恨	hfxg
行	hhii
杭	hhmj
懷	hkxb
航	hhvj
捍	hjfg
徊	hkik
皇	hlbw
煌	hlhw
蝗	hliw
凰	hljw
恍	hlxw
謊	hlyv
豁	hobk
惑	hogx
渙	hrdd
煥	hrhd
緩	hrsy
歡	hryr
滬	hudh
戶	hudu
護	hufh
虎	huhj
胡	huuo
匯	hvdk
穢	hvhx
會	hvrs
灰	hvuh
悔	hvxm
滑	hxdg
劃	hxgd
樺	hxmu
候	hzru
糇	hzmu
嗬	hekk
皓	hcbk
濠	hcdu
骸	hdgr
涸	hedk
訶	heyk
蚶	hjig
湟	hldw
崡	hjek
邯	hjge
隍	hlew
奐	hrdd
豢	hrju
蕻	hscb
泓	hsds
轟	hsiy
斛	hudu
怙	huxk
燴	hvhs
琿	hvwi
鏵	hxju
驊	hxmu
琿	hywi
瘊	hzbu
齁	hzzk
黌	hsxb
杻	izmi
焯	ichu
忡	isxv
珵	igww
蟬	ijil
饞	ijud
懺	ijxq
梣	ifmv
漦	iiwu
噇	ilkl
廚	iuic
茺	isce
插	iafj
查	iama
抄	icfu
炒	ichu
綽	icsu
超	ictk
撤	iefw
襯	ifpc
撐	igfu
誠	igyi
長	ihpn
巢	icvg
吵	icku
潮	icdo
池	iidy
媸	iini
侈	iirx
齒	iivk
遲	iizi
鏟	ijji
啴	ijkl
禪	ijpl
搋	ikfj
闖	ilmm
喘	irke
充	iswe
穿	irby
觸	iudi
鋤	iujl
初	iupd
礎	iuui
淳	iydz
醇	iyyz
愁	izhx
赤	iitd
镲	iajx
碴	iaua
耖	iclu
釵	idji
車	ieal
沉	ifdj
硨	ieui
抻	iffu
瞠	igot
萇	ihci
徜	ihik
氅	ihxm
茌	iicu
鴟	iidn
蚩	iivi
浐	ijdi
潺	ijdz
諂	ijyj
踔	iozu
氚	irqi
舂	isfj
種	ishv
憧	isxl
蜍	iuih
絀	iusi
怵	iuxu
鶉	iywn
惆	izxk
槌	ivmz
怊	icxk
鋮	igji
燼	jbhd
龜	jydv
鋆	jytj
荊	jkcd
絹	jrso
柩	jqmj
炬	juhj
擠	jifl
眷	jrjo
監	jmlm
津	jbdy
盡	jbid
巾	jbll
勁	jbvl
謹	jbya
近	jbzj
錦	jbjj
擊	jiak
寄	jibk
藉	jico
急	jidx
奇	jidk
即	jige
稽	jiho
忌	jijx
唧	jike
冀	jilb
機	jimj
嫉	jinu
及	jipn
系	jipx
基	jiqt
級	jisj
繼	jisv
輯	jiie
圾	jitj
己	jivv
記	jiyj
計	jiyu
跡	jizd
徑	jkig
竟	jkle
靖	jklo
精	jkmo
晶	jkoo
兢	jkue
勁	jkvl
京	jkwx
驚	jkxx
將	jldc
礓	jlua
講	jlyj
煎	jmbh
兼	jmbn
濺	jmdj
減	jmdk
撿	jmfa
韉	jmgz
肩	jmho
見	jmke
堅	jmlt
檢	jmma
檻	jmmm
間	jmmo
件	jmrn
蕉	jnch
較	jnix
叫	jnkl
嬌	jnnl
焦	jnrh
礁	jnuh
酵	jnyz
敫	jnbw
接	jpfn
潔	jpdk
戒	jpgc
秸	jphk
街	jpii
竭	jplv
界	jptl
誡	jpyc
究	jqbj
疚	jqbj
舅	jqjl
玖	jqwj
卷	jrjv
決	jtdg
絕	jtsb
玦	jtwg
砄	jtug
句	jubk
沮	judq
拒	jufj
據	jufk
鋸	jujk
桔	jumk
橘	jumk
具	juqb
局	juuk
齟	juvq
懼	juxb
舉	juxl
距	juzj
家	jxbu
莢	jxcj
浹	jxdj
稼	jxhu
鉀	jxjj
加	jxlk
架	jxlm
嫁	jxnu
假	jxry
嘉	jxuk
焌	jyhw
駿	jymw
君	jyyk
炅	jsoh
妗	jbnv
縉	jbso
矜	jbsv
覬	jiee
嵇	jihe
驥	jimb
戟	jiug
薊	jicd
笈	jivj
璣	jiwj
腈	jkoo
憬	jkxx
凈	jkdl
柬	jman
僭	jmro
戩	jmyg
諫	jmyj
窖	jnbk
嶠	jnel
鉸	jnjx
醮	jnyh
桀	jpxm
詰	jpyk
揪	jqfh
炯	jshk
爝	jthc
苣	jucj
颶	jujb
趄	jutq
琚	juwk
遽	juzu
蛺	jxij
鎵	jxju
枷	jxmk
迦	jxzk
麇	jygh
竣	jylw
逕	jkzg
醵	juyu
骱	jpgl
乩	jilv
誑	klyw
克	keue
炌	kdhl
硁	kgug
咖	kakk
考	kclv
客	kebk
渴	kedv
顆	kegr
科	kehu
棵	kemg
坷	ketk
刻	kewd
炕	khhj
馗	kvjz
會	kkrs
枯	kumk
叩	kzke
闊	komk
坑	kgtj
窟	kubi
尻	kcuj
恪	kexk
貺	klke
匡	klkw
刳	kudd
嚳	kuxk
睽	kvot
逵	kvzt
塏	kdtj
懇	kfgx
軻	keik
瀨	lddr
箓	luvu
氯	lvqu
吏	lian
蠃	lowf
坽	lkts
灤	lrdm
悢	llxl
勠	luxl
憭	lnxx
簕	levl
徠	ldil
廖	lngp
尥	lnyu
聾	lsle
喇	lakd
酪	lcyk
冷	lgds
牢	lcbn
烺	lhhl
痢	libd
莉	licd
荔	licl
漓	lidd
利	lihd
歷	liil
哩	likl
例	lird
礫	liul
離	liwd
璃	liwd
栗	lixm
覽	ljle
纜	ljse
讕	ljyj
嶺	lkes
齡	lkvs
令	lkrs
零	lkys
羚	lkys
莨	llcl
梁	lldm
粱	lldm
倆	llrl
亮	llwj
諒	llyx
簾	lmbj
練	lmsd
楝	lmmj
連	lmzi
療	lnbl
洛	lodk
騾	lomx
列	lpdd
咧	lpkd
流	lqdv
硫	lquv
窿	lsbu
朧	lsol
蘆	luch
賂	lukk
盧	lulu
綠	lusu
碌	luuu
露	luyk
慮	lvhx
鋁	lvjk
蕾	lwct
勒	lwgl
倫	lyrb
漏	lzdy
婁	lzmn
林	lbmm
樂	lcpd
潦	lndx
轔	lbil
嘞	lekl
莨	lhcl
鋰	lijl
酈	lile
鸝	liln
驪	liml
俚	lirl
蠡	livi
邐	lizl
濫	ljdm
襤	ljpm
泠	lkds
呤	lkks
囹	lkks
輛	llil
魎	llgl
殮	lmda
雒	lowf
躐	lpzv
騮	lqmt
鎦	lqjt
鸞	lrwn
瀘	ludu
轤	luiu
櫓	lumo
壚	lutu
嘞	lwkl
僂	lzrn
瞵	lbol
楞	lgmf
鬣	lpav
墚	lltm
鷚	lqxn
鏤	lzjn
蝥	mcsi
羋	mill
廟	mngy
嗎	makm
嘛	makm
媽	manm
玟	mbww
馬	mava
貌	mcve
萌	mgco
錳	mgjm
芒	mhcw
蜜	mibi
米	midm
彌	migx
瞇	miom
謎	miyz
銘	mkjk
酩	mkyk
名	mkxk
丏	mmav
免	mmdv
愐	mmxm
杪	mnmu
寞	mobd
蘑	mocu
漠	modd
沒	mody
摩	mogu
磨	mogu
姆	munm
魅	mwgw
枚	mwmw
媒	mwnm
每	mwpm
玫	mwww
霉	mwym
忙	mhxw
秒	mnhu
荬	mdcd
艨	mgvu
麋	migm
幔	mjjy
縵	mjsy
沔	mmdm
眄	mmom
緲	mnsu
耱	molu
嬤	monm
苜	muco
寐	mwbw
淼	mnuu
沒	mwdy
袂	mwpg
眉	mwvo
鰻	mjay
鈉	najn
哪	nake
拿	naru
那	nave
恁	nbrx
惱	ncxk
霓	niye
南	njug
蝻	njig
娘	nlnl
攆	nmfi
黏	nmhk
農	nsdn
哪	nwke
妞	nqni
佴	ndre
嚀	nkkd
狃	nqqi
怒	nunx
嘔	oukx
帕	pajb
配	pwyj
爬	pavb
泡	pcds
炮	pchs
袍	pcps
拍	pdfb
彭	pgup
龐	phgl
螃	phif
啤	piku
脾	piou
僻	piru
屁	piub
枇	pimb
皮	pivy
霹	piyu
盤	pjvm
瓶	pkbw
萍	pkcp
扁	pmhc
票	pnxx
